Landlord,Bed/Bath,Bed,Bath,CleanAddress,Address,Price,PriceNum,PetsAllowed,Available,Amenities,LLID
Miller Properties,5bd/2ba,5,2,2120 Vine St La Crosse WI,2120 Vine St La Crosse WI,"$2,375 ",2375,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",1
Three Sixty,3bd/1.5ba,3,1.5,507 13th St North La Crosse WI,507 13th St North La Crosse WI,"$1,764 ",1764,FALSE,TRUE,"Trash, Refrigerator, Range/Oven, Dishwasher, Microwave, Heat, Electric, Water",2
EKIM Properties,2bd/1ba,2,1,102 9th St N La Crosse WI,102 9th St N-RENTED La Crosse WI,$950 ,950,FALSE,TRUE,"Heat, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",3
EKIM Properties,4bd/1ba,4,1,112 9th St North La Crosse WI,112 9th St North La Crosse WI,"$1,800 ",1800,FALSE,TRUE,"Heat, Electric, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",3
EKIM Properties,1bd/1ba,1,1,615 9th St N La Crosse WI,615 9th St N-RENTED La Crosse WI,$650 ,650,FALSE,FALSE,"Hot Water, Refrigerator, Range/Oven",3
Off-Campus La Crosse LLC,9bd/2ba,9,2,804 Vine St La Crosse WI,804 Vine St La Crosse WI,"$5,130 ",5130,FALSE,TRUE,"Refrigerator, Range/Oven, Dishwasher",4
EKIM Properties,1bd/1ba,1,1,905 Main St La Crosse WI,905 Main St-RENTED La Crosse WI,"$1,200 ",1200,TRUE,TRUE,"Heat, Electric, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",3
EKIM Properties,2bd/2ba,2,2,933 Cameron Ave La Crosse WI,933 Cameron Ave-RENTED La Crosse WI,"$1,100 ",1100,TRUE,FALSE,"Refrigerator, Range/Oven",3
EKIM Properties,3bd/1ba,3,1,104 9th St N La Crosse WI,104 9th St N-RENTED La Crosse WI,"$1,500 ",1500,TRUE,TRUE,"Heat, Electric, Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasher",3
EKIM Properties,4bd/1ba,4,1,108 9th St North La Crosse WI,108 9th St North La Crosse WI,"$1,800 ",1800,FALSE,FALSE,"Water, Hot Water, Trash, Refrigerator, Range/Oven, Dishwasherr",3
Off-Campus La Crosse LLC,2bd/1ba,2,1,1309 10th St South La Crosse WI,1309 10th St South La Crosse WI,$900 ,900,TRUE,FALSE,"Trash, Refrigerator, Range/Oven",4
Mickelson Properties,3bd/1ba,3,1,630 9th St North La Crosse WI,630 9th St North La Crosse WI,"$1,950 ",1950,FALSE,TRUE,"Wi-Fi, Basic cable, Storage room, Trash, Refrigerator, Range/Stove, Dishwasher, Microwave",5
Three Sixty,2bd/1ba,2,1,414 11th St North La Crosse WI,414 11th St North La Crosse WI,"$1,022 ",1022,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",2
Three Sixty,2bd/2ba,2,2,420 11th St North La Crosse WI,420 11th St North La Crosse WI,"$1,640 ",1640,FALSE,FALSE,"Trash, Refrigerator, Range/Oven, Dishwasher",2
