LLID,Bed,Bath,Price,PetsAllowed,Address
1,5,2,2375,1,2120 Vine St La Crosse WI
2,3,1.5,1764,0,507 13th St North La Crosse WI
3,2,1,950,0,102 9th St N La Crosse WI
3,4,1,1800,0,112 9th St North La Crosse WI
3,1,1,650,0,615 9th St N La Crosse WI
4,9,2,5130,0,804 Vine St La Crosse WI
3,1,1,1200,1,905 Main St La Crosse WI
3,2,2,1100,1,933 Cameron Ave La Crosse WI
3,3,1,1500,1,104 9th St N La Crosse WI
3,4,1,1800,0,108 9th St North La Crosse WI
4,2,1,900,1,1309 10th St South La Crosse WI
5,3,1,1950,0,630 9th St North La Crosse WI
2,2,1,1022,0,414 11th St North La Crosse WI
2,2,2,1640,0,420 11th St North La Crosse WI
6,2,1,1080,1,700 10th St North La Crosse WI
6,3,1,1620,0,700 10th St North La Crosse WI
6,3,1,1515,0,632 11th St North La Crosse WI
6,1,1,820,0,632 11th St North La Crosse WI
3,3,2,1200,0,735 22nd St N La Crosse WI
4,8,2,3650,1,1019 Zeisler St La Crosse WI
7,4,1,2000,1,1422 Vine St La Crosse WI
7,4,1,2000,0,1418 Vine St La Crosse WI
7,4,2,1900,0,1128 State St La Crosse WI
7,5,2,2250,0,725 10th St North La Crosse WI
3,4,1,2200,0,903 Main St La Crosse WI
3,5,2,2500,0,1624 Main St La Crosse WI
3,3,1,1450,0,1212 Ferry St La Crosse WI
1,5,2,2375,1,113 22nd St North La Crosse WI
6,2,2,1350,0,1031 La Crosse St La Crosse WI
8,4,2,2560,0,1135 State St La Crosse WI
8,3,1,1785,0,509 10th St North La Crosse WI
8,3,1,2025,0,1135 State St La Crosse WI
8,2,1,1450,0,1125 State St La Crosse WI
8,3,1,2085,0,1125 State St La Crosse WI
9,6,2,2200,1,621 11th St N La Crosse WI
9,4,2,1800,1,515 10th St North La Crosse WI
9,4,1,1600,0,702 11th St North La Crosse WI
6,2,1,1100,1,1020 Grove St La Crosse WI
2,4,2,2480,0,421 12th St North La Crosse WI
10,4,1,1100,0,1607 Market St La Crosse WI
11,2,1,890,1,1113 Vine St La Crosse WI
11,2,1,950,1,1246 La Crosse St La Crosse WI
12,2,1,1110,0,801 La Crosse St La Crosse WI
13,3,1,1560,1,515 11th St North La Crosse WI
14,3,1,1250,0,"624 8th St S, Down, La Crosse WI"
15,3,1,1275,0,1230 La Crosse St La Crosse WI
15,3,1,1380,1,1428 State St La Crosse WI
